dev_id,datetime,battery,batteryDiff,humidity,humidityDiff,temperature,temperatureDiff
r712-313f,2023-10-14 10:00:00,3.1,0.0,90.04,2.2900000000000063,18.21,-0.4100000000000001
r712-313f,2023-10-14 12:00:00,3.1,0.0,88.01,-2.030000000000001,17.44,-0.7699999999999996
r712-313f,2023-10-14 22:00:00,3.1,0.0,77.36,-10.650000000000006,19.34,1.8999999999999984
r712-313f,2023-10-14 23:00:00,3.1,0.0,70.5,-6.859999999999999,20.87,1.5300000000000011
r712-313f,2023-10-15 00:00:00,3.1,0.0,61.29,-9.21,22.6,1.7300000000000004
r712-313f,2023-10-15 01:00:00,3.1,0.0,59.1,-2.1899999999999977,23.87,1.2699999999999996
r712-313f,2023-10-15 02:00:00,3.1,0.0,53.42,-5.68,24.65,0.7799999999999976
r712-313f,2023-10-15 03:00:00,3.1,0.0,60.02,6.600000000000001,25.1,0.4500000000000028
r712-313f,2023-10-15 04:00:00,3.1,0.0,63.52,3.5,24.15,-0.9500000000000028
r712-313f,2023-10-15 05:00:00,3.1,0.0,64.25,0.7299999999999969,23.18,-0.9699999999999988
r712-313f,2023-10-15 07:00:00,3.1,0.0,67.73,3.480000000000004,21.88,-1.3000000000000007
r712-313f,2023-10-15 08:00:00,3.1,0.0,77.28,9.549999999999995,20.93,-0.9499999999999992
r712-313f,2023-10-15 09:00:00,3.1,0.0,82.32,5.039999999999992,20.04,-0.8900000000000006
r712-313f,2023-10-15 10:00:00,3.1,0.0,83.95,1.6300000000000097,19.62,-0.4199999999999981
r712-313f,2023-10-15 11:00:00,3.1,0.0,84.15,0.2000000000000028,19.24,-0.3800000000000025
r712-313f,2023-10-15 12:00:00,3.1,0.0,81.83,-2.3200000000000074,18.94,-0.2999999999999971
r712-313f,2023-10-15 14:00:00,3.1,0.0,88.63,6.799999999999997,18.0,-0.9400000000000012
r712-313f,2023-10-15 16:00:00,3.1,0.0,90.66,2.030000000000001,17.89,-0.1099999999999994
r712-313f,2023-10-15 17:00:00,3.1,0.0,91.87,1.210000000000008,17.94,0.0500000000000007
r712-313f,2023-10-15 19:00:00,3.1,0.0,92.39,0.519999999999996,17.8,-0.1400000000000005
r712-313f,2023-10-15 20:00:00,3.1,0.0,92.14,-0.25,17.97,0.1699999999999981
r712-313f,2023-10-15 22:00:00,3.1,0.0,88.57,-3.5700000000000074,19.45,1.4800000000000004
r712-313f,2023-10-15 23:00:00,3.1,0.0,83.49,-5.079999999999998,20.93,1.4800000000000004
r712-313f,2023-10-16 00:00:00,3.1,0.0,75.61,-7.8799999999999955,22.59,1.66
r712-313f,2023-10-16 01:00:00,3.1,0.0,72.05,-3.5600000000000023,24.15,1.5599999999999987
r712-313f,2023-10-16 02:00:00,3.1,0.0,62.92,-9.129999999999995,25.7,1.5500000000000007
r712-313f,2023-10-16 03:00:00,3.1,0.0,63.81,0.8900000000000006,24.77,-0.9299999999999996
r712-313f,2023-10-16 04:00:00,3.1,0.0,73.4,9.590000000000003,24.28,-0.4899999999999984
r712-313f,2023-10-16 05:00:00,3.1,0.0,73.37,-0.0300000000000011,24.1,-0.1799999999999997
r712-313f,2023-10-16 06:00:00,3.1,0.0,76.02,2.6499999999999915,23.56,-0.5400000000000027
r712-313f,2023-10-16 16:00:00,3.1,0.0,88.81,12.790000000000006,16.91,-6.649999999999999
r712-313f,2023-10-16 18:00:00,3.1,0.0,93.2,4.390000000000001,16.66,-0.25
r712-313f,2023-10-16 19:00:00,3.1,0.0,92.07,-1.1300000000000097,16.16,-0.5
r712-313f,2023-10-16 20:00:00,3.1,0.0,91.4,-0.6699999999999875,16.03,-0.129999999999999
r712-313f,2023-10-16 21:00:00,3.1,0.0,88.65,-2.75,16.07,0.0399999999999991
